threshold,precision,recall,f1_score,roc_auc,pr_auc,brier_score,expected_calibration_error,true_positives,false_positives,true_negatives,false_negatives,missed_fraud_loss_inr,investigation_cost_inr,total_financial_loss_inr,review_rate,fraud_capture_rate,blocked_fraud_value_inr
0.01,0.3412,0.9508,0.5022,0.9961,0.9128,0.004541,0.005885,174,336,10958,9,367633.06,67200.0,434833.06,0.0444,0.9508,237076759.14
0.02,0.4634,0.9344,0.6196,0.9961,0.9128,0.004541,0.005885,171,198,11096,12,616965.95,39600.0,656565.95,0.0322,0.9344,236827426.25
0.03,0.4659,0.9344,0.6218,0.9961,0.9128,0.004541,0.005885,171,196,11098,12,616965.95,39200.0,656165.95,0.032,0.9344,236827426.25
0.04,0.4815,0.9235,0.633,0.9961,0.9128,0.004541,0.005885,169,182,11112,14,852048.69,36400.0,888448.69,0.0306,0.9235,236592343.51
0.05,0.4956,0.9235,0.645,0.9961,0.9128,0.004541,0.005885,169,172,11122,14,852048.69,34400.0,886448.69,0.0297,0.9235,236592343.51
0.06,0.506,0.9235,0.6538,0.9961,0.9128,0.004541,0.005885,169,165,11129,14,852048.69,33000.0,885048.69,0.0291,0.9235,236592343.51
0.07,0.5121,0.9235,0.6589,0.9961,0.9128,0.004541,0.005885,169,161,11133,14,852048.69,32200.0,884248.69,0.0288,0.9235,236592343.51
0.08,0.5168,0.9235,0.6627,0.9961,0.9128,0.004541,0.005885,169,158,11136,14,852048.69,31600.0,883648.69,0.0285,0.9235,236592343.51
0.09,0.5283,0.918,0.6707,0.9961,0.9128,0.004541,0.005885,168,150,11144,15,883994.13,30000.0,913994.13,0.0277,0.918,236560398.07
0.1,0.5285,0.9126,0.6693,0.9961,0.9128,0.004541,0.005885,167,149,11145,16,965272.86,29800.0,995072.86,0.0275,0.9126,236479119.34
0.11,0.5302,0.9126,0.6707,0.9961,0.9128,0.004541,0.005885,167,148,11146,16,965272.86,29600.0,994872.86,0.0274,0.9126,236479119.34
0.12,0.5387,0.9126,0.6775,0.9961,0.9128,0.004541,0.005885,167,143,11151,16,965272.86,28600.0,993872.86,0.027,0.9126,236479119.34
0.13,0.5405,0.9126,0.6789,0.9961,0.9128,0.004541,0.005885,167,142,11152,16,965272.86,28400.0,993672.86,0.0269,0.9126,236479119.34
0.14,0.5405,0.9126,0.6789,0.9961,0.9128,0.004541,0.005885,167,142,11152,16,965272.86,28400.0,993672.86,0.0269,0.9126,236479119.34
0.15,0.544,0.9126,0.6816,0.9961,0.9128,0.004541,0.005885,167,140,11154,16,965272.86,28000.0,993272.86,0.0267,0.9126,236479119.34
0.16,0.544,0.9126,0.6816,0.9961,0.9128,0.004541,0.005885,167,140,11154,16,965272.86,28000.0,993272.86,0.0267,0.9126,236479119.34
0.17,0.5533,0.9071,0.6874,0.9961,0.9128,0.004541,0.005885,166,134,11160,17,1126545.78,26800.0,1153345.78,0.0261,0.9071,236317846.42
0.18,0.6029,0.8962,0.7209,0.9961,0.9128,0.004541,0.005885,164,108,11186,19,1520099.72,21600.0,1541699.72,0.0237,0.8962,235924292.48
0.19,0.6105,0.8907,0.7244,0.9961,0.9128,0.004541,0.005885,163,104,11190,20,1677376.72,20800.0,1698176.72,0.0233,0.8907,235767015.48
0.2,0.6269,0.8907,0.7359,0.9961,0.9128,0.004541,0.005885,163,97,11197,20,1677376.72,19400.0,1696776.72,0.0227,0.8907,235767015.48
0.21,0.6598,0.8689,0.75,0.9961,0.9128,0.004541,0.005885,159,82,11212,24,2440382.55,16400.0,2456782.55,0.021,0.8689,235004009.65
0.22,0.6709,0.8689,0.7571,0.9961,0.9128,0.004541,0.005885,159,78,11216,24,2440382.55,15600.0,2455982.55,0.0206,0.8689,235004009.65
0.23,0.6766,0.8689,0.7608,0.9961,0.9128,0.004541,0.005885,159,76,11218,24,2440382.55,15200.0,2455582.55,0.0205,0.8689,235004009.65
0.24,0.6974,0.8689,0.7737,0.9961,0.9128,0.004541,0.005885,159,69,11225,24,2440382.55,13800.0,2454182.55,0.0199,0.8689,235004009.65
0.25,0.6974,0.8689,0.7737,0.9961,0.9128,0.004541,0.005885,159,69,11225,24,2440382.55,13800.0,2454182.55,0.0199,0.8689,235004009.65
0.26,0.6974,0.8689,0.7737,0.9961,0.9128,0.004541,0.005885,159,69,11225,24,2440382.55,13800.0,2454182.55,0.0199,0.8689,235004009.65
0.27,0.6974,0.8689,0.7737,0.9961,0.9128,0.004541,0.005885,159,69,11225,24,2440382.55,13800.0,2454182.55,0.0199,0.8689,235004009.65
